year,avg_temp,avg_5_years,alex_avg_temp,alex_5avg
2015,9.83,,,
2014,9.57,,,
2013,9.61,,21.44,
2012,9.51,,21.55,
2011,9.52,9.608,21.18,
2010,9.7,9.582,22.46,
2009,9.51,9.57,21.67,21.66
2008,9.43,9.534,21.74,21.72
2007,9.73,9.578,21.51,21.712
2006,9.53,9.58,21.15,21.706
2005,9.7,9.58,21.08,21.43
2004,9.32,9.542,21.06,21.308
2003,9.53,9.562,21.22,21.204
2002,9.57,9.53,21.46,21.194
2001,9.41,9.506,21.45,21.254
2000,9.2,9.406,20.74,21.186
1999,9.29,9.4,21.46,21.266
1998,9.52,9.398,21.29,21.28
1997,9.2,9.324,20.52,21.092
1996,9.04,9.25,20.85,20.972
1995,9.35,9.28,20.62,20.948
1994,9.04,9.23,21.1,20.876
1993,8.87,9.1,20.74,20.766
1992,8.84,9.028,20.09,20.68
1991,9.18,9.056,20.64,20.638
1990,9.23,9.032,20.73,20.66
1989,8.92,9.008,20.46,20.532
1988,9.2,9.074,20.63,20.51
1987,8.99,9.104,20.21,20.534
1986,8.83,9.034,20.59,20.524
1985,8.66,8.92,20.84,20.546
1984,8.69,8.874,20.51,20.556
1983,9.03,8.84,19.87,20.404
1982,8.64,8.77,20.16,20.394
1981,9.17,8.838,20.6,20.396
1980,8.98,8.902,20.44,20.316
1979,8.73,8.91,21.07,20.428
1978,8.69,8.842,20.61,20.576
1977,8.85,8.884,20.64,20.672
1976,8.35,8.72,20.22,20.596
1975,8.74,8.672,20.45,20.598
1974,8.47,8.62,20.55,20.494
1973,8.95,8.672,20.54,20.48
1972,8.5,8.602,20.7,20.492
1971,8.6,8.652,20.51,20.55
1970,8.7,8.644,20.64,20.588
1969,8.6,8.67,20.75,20.628
1968,8.52,8.584,20.63,20.646
1967,8.7,8.624,20.11,20.528
1966,8.6,8.624,21.08,20.642
1965,8.53,8.59,20.52,20.618
1964,8.41,8.552,20.22,20.512
1963,8.86,8.62,21.1,20.606
1962,8.75,8.63,21.13,20.81
1961,8.8,8.67,20.35,20.664
1960,8.58,8.68,21.37,20.834
1959,8.73,8.744,20.11,20.812
1958,8.77,8.726,20.92,20.776
1957,8.73,8.722,20.56,20.662
1956,8.28,8.618,20.45,20.682
1955,8.63,8.628,21.23,20.654
1954,8.56,8.594,20.43,20.718
1953,8.87,8.614,20.11,20.556
1952,8.64,8.596,20.84,20.612
1951,8.63,8.666,20.83,20.688
1950,8.37,8.614,20.57,20.556
1949,8.59,8.62,19.71,20.412
1948,8.75,8.596,19.96,20.382
1947,8.8,8.628,21.04,20.422
1946,8.68,8.638,20.89,20.434
1945,8.58,8.68,20.12,20.344
1944,8.85,8.732,20.48,20.498
1943,8.76,8.734,20.59,20.624
1942,8.73,8.72,20.61,20.538
1941,8.77,8.738,20.88,20.536
1940,8.76,8.774,20.56,20.624
1939,8.76,8.756,20.95,20.718
1938,8.86,8.776,20.12,20.624
1937,8.7,8.77,20.96,20.694
1936,8.55,8.726,20.94,20.706
1935,8.52,8.678,20.68,20.73
1934,8.63,8.652,20.53,20.646
1933,8.34,8.548,20.07,20.636
1932,8.71,8.55,20.55,20.554
1931,8.72,8.584,20.69,20.504
1930,8.63,8.606,20.81,20.53
1929,8.24,8.528,20.21,20.466
1928,8.63,8.586,20.8,20.612
1927,8.52,8.548,20.96,20.694
1926,8.73,8.55,20.47,20.65
1925,8.53,8.53,20.48,20.584
1924,8.51,8.584,20.82,20.706
1923,8.42,8.542,20.66,20.678
1922,8.41,8.52,20.61,20.608
1921,8.57,8.488,19.97,20.508
1920,8.36,8.454,19.92,20.396
1919,8.38,8.428,20.38,20.308
1918,8.13,8.37,20.58,20.292
1917,8.02,8.292,20.25,20.22
1916,8.23,8.224,20.86,20.398
1915,8.59,8.27,20.64,20.542
1914,8.59,8.312,19.92,20.45
1913,8.3,8.346,19.65,20.264
1912,8.17,8.376,19.89,20.192
1911,8.18,8.366,19.73,19.966
1910,8.22,8.292,19.62,19.762
1909,8.18,8.21,20.4,19.858
1908,8.19,8.188,19.4,19.808
1907,7.95,8.144,19.47,19.724
1906,8.38,8.184,20.15,19.808
1905,8.23,8.186,19.9,19.864
1904,8.09,8.168,19.78,19.74
1903,8.22,8.174,19.59,19.778
1902,8.3,8.244,20.41,19.966
1901,8.54,8.276,20.89,20.114
1900,8.5,8.33,20.73,20.28
1899,8.4,8.392,20.18,20.36
1898,8.18,8.384,20.13,20.468
1897,8.29,8.382,19.85,20.356
1896,8.21,8.316,20.17,20.212
1895,8.15,8.246,20.14,20.094
1894,8.16,8.198,19.99,20.056
1893,8.06,8.174,19.66,19.962
1892,8.07,8.13,20.42,20.076
1891,8.02,8.092,20.09,20.06
1890,7.97,8.056,20.11,20.054
1889,8.32,8.088,20.1,20.076
1888,8.09,8.094,20.04,20.152
1887,7.91,8.062,20.34,20.136
1886,7.95,8.048,19.76,20.07
1885,7.92,8.038,20.12,20.072
1884,7.77,7.928,19.34,19.92
1883,7.98,7.906,19.78,19.868
1882,8.13,7.95,19.29,19.658
1881,8.27,8.014,20.45,19.796
1880,8.12,8.054,20.16,19.804
1879,8.17,8.134,20.56,20.048
1878,8.83,8.304,20.4,20.172
1877,8.54,8.386,20.36,20.386
1876,8.08,8.348,20.18,20.332
1875,7.86,8.296,19.13,20.126
1874,8.43,8.348,19.81,19.976
1873,8.35,8.252,20.56,20.008
1872,8.19,8.182,20.37,20.01
1871,8.12,8.19,20.05,19.984
1870,8.2,8.258,20.44,20.246
1869,8.43,8.258,20.55,20.394
1868,8.25,8.238,20.03,20.288
1867,8.44,8.288,20.41,20.296
1866,8.29,8.322,20.43,20.372
1865,8.18,8.318,20.59,20.402
1864,7.98,8.228,20.29,20.35
1863,8.11,8.2,19.8,20.304
1862,7.56,8.024,19.43,20.108
1861,7.85,7.936,19.39,19.9
1860,7.96,7.892,20.49,19.88
1859,8.25,7.946,20.04,19.83
1858,8.1,7.944,19.88,19.846
1857,7.76,7.984,19.33,19.826
1856,8,8.014,19.61,19.87
1855,8.11,8.044,20.18,19.808
1854,8.21,8.036,19.75,19.75
1853,8.04,8.024,20.75,19.924
1852,8.1,8.092,20.13,20.084
1851,8.18,8.128,20.21,20.204
1850,7.9,8.086,19.45,20.058
1849,7.98,8.04,20,20.108
1848,7.98,8.028,20,19.958
1847,8.09,8.026,20.17,19.966
1846,8.55,8.1,20.67,20.058
1845,7.85,8.09,20.05,20.178
1844,7.65,8.024,19.77,20.132
1843,8.17,8.062,19.91,20.114
1842,8.02,8.048,19.92,20.064
1841,7.69,7.876,20.08,19.946
1840,7.8,7.866,19.65,19.866
1839,7.63,7.862,19.52,19.816
1838,7.51,7.73,19.3,19.694
1837,7.38,7.602,19.29,19.568
1836,7.7,7.604,19.67,19.486
1835,7.39,7.522,19.23,19.402
1834,8.15,7.626,19.74,19.446
1833,8.01,7.726,19.89,19.564
1832,7.45,7.74,19.23,19.552
1831,7.64,7.728,19.61,19.54
1830,8.52,7.954,20.32,19.758
1829,7.94,7.912,19.98,19.806
1828,8.17,7.944,20.08,19.844
1827,8.81,8.216,20.7,20.138
1826,8.36,8.36,19.96,20.208
1825,8.39,8.334,20.03,20.15
1824,8.55,8.456,20.52,20.258
1823,7.72,8.366,19.82,20.206
1822,8.19,8.242,19.8,20.026
1821,8.09,8.188,19.69,19.972
1820,7.62,8.034,19.73,19.912
1819,7.37,7.798,19.44,19.696
1818,7.83,7.82,19.9,19.712
1817,6.98,7.578,19.08,19.568
1816,6.94,7.348,18.91,19.412
1815,7.24,7.272,19.39,19.344
1814,7.59,7.316,19.5,19.356
1813,7.74,7.298,19.55,19.286
1812,7.05,7.312,19.02,19.274
1811,6.86,7.296,19.19,19.33
1810,6.92,7.232,19.12,19.276
1809,7.08,7.13,19.03,19.182
1808,7.63,7.108,19.69,19.21
1807,8.28,7.354,20.36,19.478
1806,8.43,7.668,20.4,19.72
1805,8.56,7.996,20.35,19.966
1804,8.84,8.348,20.7,20.3
1803,8.5,8.522,20.94,20.55
1802,8.58,8.582,20.94,20.666
1801,8.59,8.614,20.83,20.752
1800,8.48,8.598,20.52,20.786
1799,8.51,8.532,20.66,20.778
1798,8.67,8.566,20.67,20.724
1797,8.51,8.552,20.48,20.632
1796,8.27,8.488,20.39,20.544
1795,8.35,8.462,20.22,20.484
1794,8.53,8.466,20.31,20.414
1793,8.23,8.378,19.94,20.268
1792,8.09,8.294,20.17,20.206
1791,8.23,8.286,22.6,20.648
1790,7.98,8.212,,
1789,8.33,8.172,,
1788,8.45,8.216,,
1787,8.03,8.204,,
1786,8.26,8.21,,
1785,7.36,8.086,,
1784,7.86,7.992,,
1783,7.68,7.838,,
1782,7.9,7.812,,
1781,8.1,7.78,,
1780,9.43,8.194,,
1779,8.98,8.418,,
1778,8.54,8.59,,
1777,8.26,8.662,,
1776,8.3,8.702,,
1775,9.18,8.652,,
1774,8.77,8.61,,
1773,8.22,8.546,,
1772,8.19,8.532,,
1771,7.85,8.442,,
1770,7.69,8.144,,
1769,7.69,7.928,,
1768,6.78,7.64,,
1767,8.22,7.646,,
1766,8.41,7.758,,
1765,8.25,7.87,,
1764,8.4,8.012,,
1763,7.5,8.156,,
1762,8.61,8.234,,
1761,8.77,8.306,,
1760,7.19,8.094,,
1759,7.99,8.012,,
1758,6.74,7.86,,
1757,9.02,7.942,,
1756,8.85,7.958,,
1755,8.36,8.192,,
1754,8.47,8.288,,
1753,8.39,8.618,,
1752,5.78,7.97,,
1751,7.98,7.796,,
1750,8.72,7.868,,
